month,Amsterdam,Antwerp,Barcelona,Berlin,Bilbao,Bratislava,Bregenz,Bremen,Bruges,Brussels,Budapest,Cologne,Dijon,Dresden,Dubrovnik,Eisenstadt,Eisenstadt,Genoa,Ghent,Gijón,Graz,Haarlemmermeer,Hamburg,Heidelberg,Helsinki,Innsbruck,Karlsruhe,Klagenfurt,Leipzig,Leuven,Lille,Linz,Lisbon,Ljubljana,Lucerne,Luxembourg,Maastricht,Madrid,Maribor,Mechelen,Monaco,Munich,Nuremberg,Opatija,Oslo,Paris,Porto,Poznan,Rotterdam,Salzburg,San Sebastian,Seville,Split,St. Pölten,Stuttgart,Tallinn,Troms,Trondheim,Turin,Utrecht,Valencia,Vienna,Vilnius,Warsaw,Zagreb
January,0.0,0.4121412683773667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06288853922150282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722232242704087,0.0,0.0,0.0,0.11406578026592022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
February,0.28040966909851767,0.0,0.2710364135715648,0.1044373776664359,0.1735811444652908,0.033360477028553416,0.06767268720996228,0.0903399330982732,0.0254648069886448,0.19444272923741895,0.07943269780248324,0.0799555829493313,0.19842471358428806,0.14371937035615076,0.010886589467738208,0.04153154440621324,0.07712765957446809,0.15400359111512915,0.0,0.20829854197443637,0.08553798935370942,0.17015640978357446,0.0892273294274071,0.09064926995961478,0.11005524043933268,0.1711680347076231,0.1449724430447261,0.06749192335988229,0.11884084115039686,0.08414598108747044,0.17036875951411973,0.09503891858951276,0.23163862001915847,0.035568558010624376,0.08522518918558522,0.5471664081382346,0.30067996592132973,0.3108860575135045,0.03242372369348505,0.0,0.10095172041767811,0.08600962881627933,0.10018613674496644,0.0738126294790148,0.23573484536974917,0.20816542799020302,0.1866825377253801,0.17918973767945282,0.3303667096717763,0.07232247386056276,0.2511362745866311,0.2901030092107286,0.03357536212331203,0.12523629489603025,0.12524412738024196,0.03605375842625175,0.6247732849674598,0.1786640101120466,0.28634619137448775,0.3843529562652302,0.35575023955257445,0.10348535632382361,0.03797073944509751,0.13867442402084643,0.029262254329981634
March,0.5863620764095695,0.3883795367004828,0.5326932377331032,0.37934237460342757,0.30578095684803,0.192939136830492,0.13334223616999966,0.3423402043214899,0.21716646638672482,0.5013687352063394,0.3311620583686665,0.3827839902947766,0.28160801963993454,0.3450168251315522,0.08969111869977149,0.28810997394659604,0.17606382978723403,0.2692457402594141,0.29287796321613746,0.33887854068983236,0.27416596064389276,0.42161908434058104,0.3364042325389274,0.2743709226467847,0.337915112932925,0.26262369277326225,0.33578848449445053,0.1652752454978729,0.3685187094114009,0.5272606382978723,0.6564664947652925,0.37580676435555804,0.48255722516906624,0.1498883670798368,0.23567356735673567,0.6365210490242055,0.5578774775354048,0.5735745810804134,0.07501762158896386,0.4821553533939818,0.39648595538088083,0.2704190029432212,0.22320679530201343,0.18639223509552674,0.567727833445149,0.6024563570099499,0.3703110031963427,0.5589657505073535,0.6365047779405655,0.17237899156271447,0.30301308674868743,0.548066306064545,0.055216906038045944,0.37161310649023316,0.3308943199696197,0.17507101369398398,0.8862335075927309,0.40260727981661204,0.37288319347774235,0.660100038476337,0.5255490153900307,0.32861099955335193,0.2957780390046313,0.6779658037781947,0.1627687531073389
April,0.8219481008314052,0.7301397855295756,0.8028134331338211,0.7002597331447383,0.5925891181988743,0.45622422443457933,0.28227556505191465,0.5546853810686194,0.6547128795754965,0.7159359884738088,0.31626418155588504,0.687534853687887,0.45094108019639934,0.614924682129226,0.32088735974529486,0.4881330592412633,0.30957446808510636,0.6450948631986038,0.6331157943611835,0.646476973472927,0.5037325958725642,0.6758729945851704,0.7543417637496892,0.513730972351662,0.4639687988674322,0.3928710113683534,0.485256393975567,0.30000319866935354,0.6982914132563653,0.7618203309692672,0.6483270682531299,0.5817844381042077,0.7330397609482007,0.3305104319039187,0.500033336667,0.8158075105515674,0.6069218280313138,0.7591813805425733,0.16943577350384317,0.5668299510146956,0.6045158555850961,0.49943474560303547,0.4597708682885906,0.3191897490984424,0.516514813772805,0.7256858597456187,0.6492322138229966,0.7543156365094079,0.8707113336686274,0.3983286908077994,0.710661390173184,0.7706472668315932,0.18820600247752445,0.4388783868935098,0.5266031031302555,0.3975749353457413,0.243714214588001,0.28467982089680144,0.8088712533518362,0.9913556496088239,0.8089250444883352,0.5818398147348824,0.4294899939099523,0.7408610135826936,0.33359375792688495
May,0.8965600748375383,0.6885115463209099,0.8763149838275291,0.8866014553024908,0.6323405253283302,0.7200609419737845,0.4217941441591827,0.7928193653376729,0.5746999176376868,0.8871976947617577,0.3619808421616308,0.9611350806648861,0.46689852700490997,0.7557194155242891,0.47147148689244356,0.9223949344267701,0.5680851063829787,0.5632149269848445,0.6053860241958366,0.5667994090821504,0.6697891522931086,0.8428190642235671,0.7917638524406558,0.7117272444858652,0.6315592238579478,0.47494007846708,0.8123841210982146,0.5440616703451364,0.8579785589114525,0.9921690307328606,0.8720214980272764,0.8591728760976151,0.8350728450309538,0.41723766263761647,0.6813181318131813,0.856336351502471,0.6859618383192143,0.905282430994978,0.2714060349746585,0.7834149755073478,0.7446537972488729,0.7150078290982568,0.6816078544463087,0.46203867106575613,0.762932023286515,0.8503445727620129,0.7262716606755001,0.9259639716383133,1.0,0.5356330655470779,0.7709623070292296,0.8864941926286217,0.31618485766499455,0.8460932577189666,0.7408994737698693,0.4284987493110612,0.30886589139016324,0.5696809992073184,0.6252303822719486,0.9487238681544183,0.8440659405127403,0.7414789681303462,0.6135085756369765,0.8728693275446129,0.46383311180332193
June,0.8992156450309424,0.7196151829147001,0.8866107914084026,0.956977184323374,0.6476196060037523,0.8653628936930311,0.5521316729542951,0.8719035349425911,0.5487085319255228,0.9106823093547392,0.3085275159149127,1.0,0.5547258592471358,0.8034903678944872,0.6902559889080032,0.9366528521331912,0.5914893617021276,0.6729071709295463,0.5429617974050094,0.6852398998008864,0.7529453138737472,0.875668471609864,0.9454677350080455,0.812224293258776,0.682658943491899,0.6131546176403637,0.7612323165621111,0.6476025973195151,0.883974590248428,0.9561170212765957,0.7956134083071856,0.9667599235478241,0.8518460270029405,0.5968511817691893,0.8599026569323599,0.9954547094260668,0.6864762333424425,0.8781069490066346,0.5249219615345887,0.8364240727781665,0.9908295765422109,0.7707454860862955,0.7563050545302014,0.6443643059924806,0.854264505377973,0.9564450440128984,0.7132254607191297,0.8157492546288176,0.9037414445343421,0.7664675090495606,0.7408314395423556,0.8335779277957147,0.5699900653723032,0.8719281663516069,0.7523666793251235,0.5633950905159621,1.0,0.7974377102213082,0.5187811241932103,1.0,0.7767858888867161,0.8414136599244076,0.743693968020168,0.9616555857783793,0.5788224073378857
July,1.0,1.0,1.0,1.0,0.9050539399624765,0.9118968189340408,0.820452041531733,1.0,0.9350552907659695,1.0,0.4910504841410343,0.8896715681958264,1.0,0.992631947424287,0.9700310678614528,0.7585772862686468,1.0,0.9486068733441317,0.9386333737457115,0.8935384417753227,0.9682209824639928,1.0,0.9928649372907723,1.0,0.9788568837730053,1.0,1.0,0.8916290823017625,1.0,0.9739952718676123,0.7727639876976606,1.0,0.9710144927536232,0.8851489722072523,1.0,1.0,1.0,0.7804557075274187,0.8825227402409962,0.896256123163051,1.0,1.0,1.0,0.8902593416711425,0.9917241976323934,1.0,0.8679587984786546,0.886853907248265,0.8473464389582559,0.9699312367957155,0.9742770942716088,0.5046822368513005,0.9735567193651651,0.6121613106490233,0.897222372918136,1.0,0.8965112557345567,1.0,0.7017498211149418,0.8333974605617546,0.9937618554080216,0.9543931028529177,0.9023326299092158,0.8109100975967728,0.8824132228050773
August,0.987304741555868,0.9133076547496338,0.9305715160415825,0.8970766947400926,1.0,1.0,1.0,0.9935471476358376,1.0,0.9525110630853144,0.7052873875565964,0.9639576179155294,0.8930851063829788,1.0,1.0,0.8482856420460166,0.7319148936170212,1.0,1.0,1.0,1.0,0.8644364721463178,1.0,0.9051724137931034,0.8353751630842116,0.9759376548251898,0.8695806771137582,1.0,0.9319657767240491,0.9165927895981087,0.48473080866134394,0.9469543779950694,1.0,1.0,0.9826982698269827,0.9026009162728618,0.8762558472246781,0.5196267369915814,1.0,0.811406578026592,0.7379879012060263,0.9145929843483006,0.9102742239932886,1.0,1.0,0.6890405444390164,1.0,0.8330118006664495,0.9417462990094246,1.0,1.0,0.8149887486547305,1.0,0.893037177063642,0.5995836271903651,0.7881290541399923,0.7746008037270173,0.8254922124386743,0.5853552765671415,0.8801077337437476,1.0,0.9364295928746496,1.0,0.8561271526438136,1.0
September,0.8726890035315347,0.7188195084902078,0.9071513823136617,0.9158195663975536,0.7629573170731707,0.91499645380756,0.5318332053550563,0.8655975951541452,0.6319349742786546,0.8830657610373572,0.5304890963366728,0.9637766233258,0.5854950900163666,0.8814788048510581,0.7238709014815005,0.9047786559961305,0.8186170212765957,0.7086425333684911,0.5697887378440426,0.7229109127111568,0.8554278498009815,0.8993981659988936,0.7813243021633296,0.7648959304131718,0.7591211495933304,0.7409247331985378,0.799253295405481,0.6105620062054186,0.921000412328626,0.8108008274231678,0.896129112429712,0.9430486690119387,0.9586591939150451,0.5947263068750481,0.9017401740174017,0.8386061108906605,0.45607548746965876,0.8992850473730888,0.5309300842479777,0.8262771168649405,0.7432666743729048,0.9620337463372165,0.8060966338087249,0.5680196424460984,0.8201181639145584,0.8941284999739617,0.8801276640141132,0.9213038358429584,0.810533336248934,0.8407882873790589,0.8139644228508738,0.9014004780074636,0.6043565182196166,1.0,0.8099332718494006,0.5424852673082631,0.5499128703012198,0.5773293056537481,0.7232088004220965,0.8845709888418622,0.7941998944013141,0.8969368950076756,0.8321554520090076,0.9927758174443795,0.7622289639497956
October,0.9597554495234089,0.9682815240781931,0.9643118602556537,0.9449069393325132,0.7128869606003753,0.9039769891512779,0.3587286749240477,0.8132967181990779,0.7819559024074099,0.9882679839456623,0.5836227256560781,0.9319411425161183,0.46622340425531916,0.8404604891709389,0.45364726423087787,0.7271043345388987,0.5765957446808511,0.6783063999698647,0.6878014806407512,0.6803584045218062,0.7401409914158288,0.9881058154934536,0.8746247002225597,0.7578440509474992,0.6878452527458292,0.6096999236753659,0.8516242094836564,0.36899849662540385,0.9260514379960829,1.0,1.0,0.8091188609733803,0.9245242554651645,0.40936946647162986,0.7286561989532286,0.8916345009198803,0.6141555080454597,1.0,0.24019064881012317,1.0,0.7531691904596771,0.8630200178022649,0.7251271497483222,0.4879728381800046,0.756404873720432,0.9967009958181754,0.841970730226779,1.0,0.8797533401849948,0.7345080941423439,0.953216832536635,1.0,0.2809414592864239,0.7465343415248897,1.0,0.6070716920337474,0.44133859667840253,0.5325963536645457,1.0,0.9829165063485956,0.8918102352504058,0.8766875978215585,0.628011386972963,1.0,0.5916170337977008
November,0.85896832689391,0.6104992857013689,0.6416011855375072,0.7254150002739276,0.45561679174484054,0.726785573563792,0.23667078422862484,0.7177244372118253,0.3940429094149575,0.8825511989297108,0.76804389438812,0.9345729016856955,0.2944353518821604,0.682349420718625,0.09909364007497368,0.9467114448096563,0.249468085106383,0.3368867794226592,0.3715531250806098,0.3264178816879697,0.5189027606822578,0.7715796885215671,0.6453943704519627,0.46568810189499843,1.0,0.45259168998808263,0.7016229395778834,0.2845856123852477,0.6892330687557984,0.750886524822695,0.8631675417067942,0.7206725575468823,0.6880412145127699,0.20759103857109862,0.424992499249925,0.7953356661015115,0.49357809963188604,0.8816179931911751,0.1098580203403484,0.5442617214835549,0.294956267098216,0.7293552201568418,0.6256095322986577,0.15192204404204712,0.771203497305603,0.7839321716143464,0.47825633340604934,0.8237416380627866,0.6510791366906474,0.5296112389487707,0.4716519081576679,0.5980124952828211,0.0624655047649418,0.6991178323881537,0.70192046872457,0.43636749056683766,0.5137807176642128,0.5018424491719691,0.8593638196838613,0.869488264717199,0.5681502630189491,0.7768054528598614,0.48488110244026794,0.8887458309347934,0.32812484146230103
December,0.7729397535675143,0.7712616864681098,0.5369770568321479,0.6682276387941211,0.49009146341463417,0.7800572644408836,0.23616999966614363,0.6578745140584034,0.689440071290658,0.9740454872903159,1.0,0.978838308238678,0.2615180032733224,0.9894419476501276,0.047582612267953885,1.0,0.6319148936170212,0.28652327318843307,0.739004823690252,0.3186781424625859,0.6538516872612178,0.6612127206584969,0.6141476456553592,0.5626902764833799,0.5920026278533954,0.7108233687283245,0.5651334670967414,0.2760451652112721,0.6480581898773322,0.7477098108747045,0.8777843362639411,0.5972410736544694,0.5396489522420638,0.3775964277465548,0.6327632763276327,0.0,0.7194457393624717,0.7606794260613107,0.1935353942201188,0.4464660601819454,0.42280275883327556,0.7330959698011215,0.8631960465604027,0.22101588275914985,0.5939749388620772,0.8430489047818616,0.4332372217427181,0.65069025129657,0.7065666615643655,0.7915775167198202,0.4778426455606927,0.4290466406697695,0.05140863208762096,0.45982986767485823,0.7095630119893669,0.619620977657184,0.5807816778690565,0.29178181973991474,0.6978324190319246,0.8181608310888804,0.5164166845923696,1.0,0.5615024006118373,0.7651833070409414,0.6529926844364176
