month,Aarhus,Amsterdam,Antwerp,Barcelona,Berlin,Bilbao,Bratislava,Bregenz,Bremen,Bruges,Brussels,Budapest,Cologne,Copenhagen,Dijon,Dresden,Dubrovnik,Eisenstadt,Eisenstadt,Genoa,Ghent,Gijón,Graz,Haarlemmermeer,Hamburg,Heidelberg,Helsinki,Innsbruck,Karlsruhe,Klagenfurt,La Coruna,Las Palmas,Leipzig,Leuven,Lille,Linz,Lisbon,Ljubljana,Lucerne,Luxembourg,Maastricht,Madrid,Maribor,Mechelen,Monaco,Munich,Nuremberg,Opatija,Oslo,Paris,Poznan,Rotterdam,Salzburg,San Sebastian,Seville,Split,St. Pölten,Stockholm,Stuttgart,Tallinn,Troms,Trondheim,Turin,Turku,Utrecht,Valencia,Vienna,Vilnius,Warsaw,Zagreb
January,0.0,0.0,0.20631659586322168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026685709990227767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440398131987358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4289809823961984,0.0,0.0,0.0,0.12152777777777778,0.06060750902181966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032995904489606674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015202756494767882
February,0.31366396965355825,0.2334189303170996,0.0,0.21883209333907697,0.08704987717571404,0.11853949852895973,0.009954591854693934,0.04827586206896552,0.06992607270787288,0.02890329899831118,0.1671338992726952,0.0829627198035459,0.05818447038336391,0.17348617354977666,0.21090055176037836,0.13121350382613933,0.005906597821080033,0.027003555686640777,0.07784101340187259,0.11136541252651558,0.0,0.12147477053312408,0.0827326582426241,0.12877306720436968,0.07614372545816024,0.10016780049100242,0.0853665358094502,0.17581819007126537,0.12584844258484426,0.0413080252748893,0.17025313245066706,0.6562573706306901,0.11380296298372741,0.0902946582083358,0.16871717325363947,0.08317763883780802,0.22826976237099567,0.027922411467552578,0.06812017616535124,0.47835606216802645,0.3470425935506122,0.24408542091626456,0.028829536527886883,0.0,0.0,0.07034302522463148,0.08992930259960233,0.010680210383254184,0.20330099228224918,0.1652131395297151,0.2011666909727286,0.38723152074475126,0.04191751217390084,0.15268401549018654,0.29161720600294755,0.015181612264539188,0.178938010183464,0.09541543318082962,0.12541862800813489,0.008420704223980998,0.6427633104087783,0.2218219091110754,0.1403177500784392,0.1302158273381295,0.32517977464469733,0.15717454640793974,0.08209722238833937,0.047851471996540114,0.11786581642661569,0.0
March,0.4469139040778031,0.534112283470013,0.3778466467024166,0.4987821528441988,0.3503769990327528,0.2646774689325078,0.1505579217853497,0.12243175287356321,0.3413675278815131,0.2198429785094561,0.45450515889776427,0.38481205238355265,0.3677025586806017,0.3335973826353855,0.34383210719915924,0.36275504141184406,0.0369955757426432,0.2860803880122565,0.14081145584725538,0.24369518564003326,0.3019369064622015,0.21714937936938222,0.31107674049863326,0.3891166185966972,0.33443999170235694,0.3020987460426362,0.27553495514919757,0.2517059811472061,0.38106307143964047,0.12067764565401264,0.20987165829655557,0.8521392518515024,0.40591054984792635,0.5223513369301002,0.6414044255151619,0.35554247885251933,0.4879958751818213,0.1368811597630512,0.21916016221166004,0.6741284007343917,0.6164856009656837,0.5497710445829468,0.08761455878502225,0.42837532299741604,0.3719618574194011,0.2693596123445954,0.2812025922380146,0.06764002309659325,0.49503197353914,0.4975388289319802,0.6575907831413155,0.5080579736828478,0.1436695715628903,0.22802833842025128,0.5840659246133466,0.030277352015735733,0.4364341711791805,0.3342304139420874,0.35261613464720876,0.1613270640460267,0.7052971176879684,0.43043348555430616,0.3360820331441285,0.22302158273381295,0.5434431798878886,0.3414629835295781,0.32258887599819797,0.4047063729881684,0.9899098461887014,0.19234958060263294
April,0.5709428784729929,0.8231799992614549,0.6794519116930149,0.7657980622503888,0.7025714943447777,0.5471062222807711,0.38897532472103913,0.27588002873563217,0.5943525645911135,0.6396627518725264,0.6710512269497292,0.227184778594583,0.719150103042656,0.5827847564530662,0.5489194692590647,0.6955946199147167,0.2437305166632744,0.5213685297153812,0.16834955021112538,0.5778224355873122,0.6446415595479716,0.5162053550197365,0.5920175873775547,0.7524030730748615,0.7740764741625714,0.570356348727444,0.40959156276061265,0.31682074715165454,0.5602045560204556,0.20967461067714813,0.3581392989397859,0.24522383131279776,0.755848178619984,0.6630106124384894,0.6398654271167938,0.5405663847002574,0.7210859192616649,0.3244040250252211,0.47037020886931497,0.7538609564764907,0.6595964821520952,0.7942587676022549,0.2202409007593611,0.48926033591731266,0.6327701168654255,0.5099814281353878,0.49519110391044996,0.1790575175875844,0.4553054024255788,0.7477337208179481,0.6960186670555637,0.7890312595294673,0.37961871482900406,0.5368239555595725,0.7903642025220637,0.1544619681980058,0.4475874888870929,0.49403522213251416,0.5428314086274005,0.3822853693914703,0.0,0.3138199814887058,0.6035625659602385,0.31510791366906477,0.8855387577147387,0.6736965212088718,0.6084161593448871,0.5144033239628062,0.8434257895711132,0.44007107782257293
May,0.5900809103932527,0.8404719185818528,0.6722438888501985,0.8448938764483839,0.7957010078886064,0.5924450006586748,0.605174416558133,0.47708333333333336,0.8142989609531793,0.5963206951230517,0.8232352299573457,0.24677337390354684,0.920915821641502,0.6769221873689992,0.6383177877036259,0.8120231143585931,0.39298760565190843,0.9502629897261957,0.35377271892785017,0.6135921005296913,0.6680698589290636,0.4668402530080373,0.7399733465627766,0.8723704025115495,0.7910214729050746,0.7354373145308613,0.6284629701198056,0.41207577431117703,0.8621106462110646,0.4024702721528434,0.38580632070207477,0.11340157554601632,0.8626501464672656,0.8156755795340013,0.8194092751496497,0.7835821993379919,0.8072320828210362,0.4309053350430698,0.6383726507652727,0.7878216645557814,0.7421538196240731,0.8540160084249688,0.4034825870646766,0.7749515503875969,0.9021102693401525,0.7123008611696174,0.7487517490242286,0.24641472525659608,0.686736493936053,0.7677835971999332,1.0,0.8580749469226653,0.49424984914186276,0.6243699290148992,0.8939821425499338,0.25575264827590677,0.8433686252323608,0.6742902354796189,0.7572440069625388,0.4109352335893617,0.16515338845529712,0.6491191836672251,1.0,0.3532374100719424,0.8996942415491761,0.6513520121841647,0.7501752203710127,0.7296113805566711,0.9763771043026825,0.5269694480004585
June,0.7013276568269405,0.849558953774698,0.6539974928616199,0.8761081459956338,0.8752478511670913,0.619137794756949,0.7417790136928438,0.574658764367816,0.8917320834286004,0.5937939125165981,0.8647640088557598,0.28552445102377716,0.96659947927415,0.736251367226085,0.6888465580662112,0.8324540628376716,0.6348233510803544,0.9800586606367465,0.3501009730126675,0.694466153101857,0.5924603472900849,0.6096328529985257,0.8215192459217323,0.9259858597718166,0.9284695437948499,0.8436479661423246,0.6536190834570714,0.5888018035738602,0.769053153571982,0.5394671376685407,0.4865824582762644,0.0,0.9382174443214151,0.7217643920080631,0.7583414607958053,0.8013828613460832,0.8117267695350079,0.5618406027929802,0.8385121876771465,1.0,0.7997499568891188,0.7965360189561799,0.6282534694946321,0.7017926356589147,0.8801950146977989,0.7870879225175127,0.8309080197363576,0.4881433559978475,0.830194046306505,0.8672742572572895,0.8686160128336007,0.8388808018273562,0.7237226174939306,0.7270584636349099,0.7567653586113166,0.4855863796472422,0.8407823486624101,0.7532357535921613,0.7197077735244815,0.5316384840785413,0.80063364500425,0.9107633231597708,0.4414529792635272,0.5539568345323741,0.9327331408187531,0.6240996650533057,0.8128853751789081,0.8077214173179698,0.9734097370536862,0.6494067294648146
July,1.0,0.9614168811475818,1.0,0.9832830764513044,1.0,0.8421815307601107,0.8810940195008624,0.7991379310344827,1.0,0.8985483891760884,1.0,0.4876868981146845,0.9035271967591741,1.0,1.0,0.9633608122635435,0.9453636353897739,0.8031001654950924,1.0,0.9174946968851178,0.9797288832093012,0.8315261330670091,0.9837258392428089,1.0,0.9480506963962161,1.0,1.0,0.9516802590367827,1.0,0.9097343151400568,0.7719373002587125,0.3747818293315722,1.0,1.0,0.6860353790678323,0.8532548731151158,0.928512990133457,0.8268041846663242,1.0,0.949014756560926,1.0,0.7120242808388553,0.857528148730034,1.0,1.0,1.0,1.0,0.8294622971683105,0.9621058434399118,1.0,0.9325944290506052,0.9272969971749625,0.9175226988871581,0.9935689306348334,0.46807851772842224,0.9169483177088565,0.6240200436434171,1.0,0.8392647158690842,1.0,0.6993856734410014,1.0,0.5082147237513905,1.0,0.8303465262442671,0.8503934224364205,0.9194735813927528,0.9158737759105372,0.9457806192790458,0.908834412875531
August,0.8214422630697524,1.0,0.8456629988160735,1.0,0.9170289501531396,1.0,1.0,1.0,0.9550783730914818,1.0,0.9547906039832353,0.6321993453634117,1.0,0.9746406664835667,0.9543155543878087,1.0,1.0,0.9304101328876436,0.6535707729025152,1.0,1.0,1.0,1.0,0.9174557798820797,1.0,0.9325656943055292,0.843955311921567,1.0,0.902975360297536,1.0,1.0,0.5141044388886268,0.9873330343251994,0.775241596015889,0.551543024847666,0.7911438028687017,1.0,1.0,0.9711943487550692,0.8405447065869439,0.9999892222797034,0.4745245576522289,1.0,0.7820574935400517,0.8569175250340558,0.9898872173029644,0.8865343545180058,1.0,1.0,0.8094795781199945,0.9367361820037917,1.0,1.0,1.0,0.7792964829883989,1.0,0.9829467388668875,0.872654962593355,0.6598470957849476,0.8259396629771327,0.6519975272390078,0.9626484919414676,0.3955560626372686,0.60431654676259,0.9150246305418719,1.0,0.9398772859381167,1.0,1.0,1.0
September,0.6232420653336292,0.8406676916421901,0.6982380388606448,0.8077780130400181,0.8288479337762523,0.7144096078689677,0.7991481572741033,0.5272988505747126,0.9400769758402561,0.6491704160167077,0.8386631887232946,0.5430627144376722,0.9185779265386431,0.6986012132776325,0.7351714398318444,0.909203461073972,0.6524373587290705,1.0,0.482834587846521,0.6575366256062918,0.6214011877020221,0.7019189613354259,0.8975982723903464,0.8774751780290462,0.7662662258390808,0.8906569017251214,0.6736976994894535,0.660271443918234,0.9981094064776073,0.4934076322205085,0.6345457312433419,0.4847162602009529,0.9214543008115268,0.7378905555226182,0.866008715025814,1.0,0.9009434875928015,0.6108932880524155,0.8632015000218026,0.822665999037829,0.612002069322297,0.8026148406416165,0.5445928253469494,0.7001776485788114,0.8324211935090696,0.9265644480147238,0.8268686943073864,0.43656882038470757,0.7322205071664829,0.803908567119294,0.879364153419863,0.9079417501424026,0.7587497719586298,0.7739322686726968,0.8502101719797455,0.5197231340550945,1.0,0.6451100620925254,0.8478642376413149,0.5277445168073363,0.5191832161347655,0.6457611431106624,0.5719301748481131,0.33093525179856115,1.0,0.6774525197594983,0.8406774390316832,0.8117064656637113,0.9484081483794141,0.8007528134971436
October,0.5894957728859386,0.9256572318509874,0.9184918866216311,0.8776976263662449,0.8938638066718266,0.6886115136345673,0.8016755253616812,0.31713362068965517,0.9060856642024236,0.7774175250422205,0.9619708242632964,0.5935192871594643,0.9405801485284265,0.6188033940935833,0.6344094850236469,0.9060281384982299,0.3829821422832596,0.9435055465434465,0.36662382963098955,0.6345316512225075,0.6743967526121928,0.6020711466210111,0.8654293246174648,0.9523316062176166,0.8733608942362588,0.8684873984311068,0.6329938164880092,0.5602124343707918,0.9492019215868588,0.24216378924324594,0.5018211332623143,0.5864663427520166,0.9723218916002074,0.8324242603901109,1.0,0.7305038617138654,0.871856693928714,0.4029385788246424,0.6941089260018314,0.8556645361452289,0.712601310570788,1.0,0.44228855721393034,0.8607881136950905,0.7299667805845661,0.8842599271399784,0.8136423889829885,0.24333910748164644,0.671173098125689,0.9430213683663569,0.9918331631908998,0.8388923091085885,0.6680314065591715,0.7599160137103447,1.0,0.23366234927753674,0.8433686252323608,0.5942649879136572,1.0,0.6289146539723334,0.6439417355691214,0.5972187162952934,0.7633874326135942,0.3697841726618705,0.9704716607213635,0.6865906432920812,0.8594521323461988,0.6155509561026845,0.9536245258152662,0.6847418333747317
November,0.5367829543390973,0.7826385636587757,0.461391810014625,0.5595511196454517,0.5912215450755183,0.38424340227462345,0.6089126685205393,0.20131106321839082,0.776757360973503,0.4094096868594413,0.7999563709950662,0.8294662218252177,0.8419475486024928,0.5226778839435859,0.4631667104571729,0.6374494615216676,0.048475345209911196,0.9787838568549379,0.13163209105929868,0.31687196854105415,0.37511588864667117,0.28311218909021735,0.5740021984221944,0.77367467265627,0.5656927338714562,0.49386246972565034,0.5245255578382116,0.34454766912287604,0.7633658763365876,0.17008308871088113,0.3342870187186121,1.0,0.6385131820539056,0.6040789707713287,0.8265495119048685,0.658080176535491,0.633958358890542,0.23218542018499153,0.4050669341124144,0.8021658664938686,0.5293800655285394,0.7173317159230435,0.26512175962293794,0.5505490956072352,0.2601868890853906,0.6823968183343634,0.6554643199057368,0.048911357003413425,0.6162359426681367,0.6443507410183427,0.7463467988916436,0.5799784813840958,0.458566637196705,0.3412707793065569,0.6851950613885687,0.04355680709793031,0.6278186373555322,0.514450675517862,0.7183781716544608,0.42906651869591034,0.7800595008113747,0.5487374838408641,0.6784106791408768,0.2762589928057554,0.8147613385425514,0.30777388594137106,0.7033126417809885,0.45476661209106917,0.828997864269196,0.3705600244568852
December,0.3262545146385263,0.7298853438073875,0.48289400376070757,0.4460635354073728,0.5891241060542474,0.4290552408553989,0.659474110317153,0.19236709770114943,0.6862091304016462,0.7018074230684939,0.9300729161348414,1.0,0.8864580182451934,0.5503924601396377,0.3508604834471887,0.9367035785249811,0.017683638817769874,0.9274738239197758,0.28217367358178813,0.26012553806458016,0.6088601568568494,0.2751937984496124,0.6157041273917568,0.6052170805788816,0.5415065729449107,0.5698190565148747,0.49176464007485304,0.713546473801274,0.5505811250581125,0.16222200109458182,0.29220311469588595,0.9306099344308694,0.6100817133166075,0.4982510227070611,0.8552804645627723,0.5005516734093417,0.4851752817134598,0.3134545669550307,0.5605459381677059,0.0,0.7772676323504052,0.6422390141999109,0.32827965435978007,0.43685400516795864,0.3007671534067825,0.6974069242835862,0.8725274320642168,0.07840272131289207,0.47198015435501656,0.770171348516967,0.6030188128919353,0.6490221687772938,0.7401731711082109,0.34937740296037767,0.48347870467539467,0.03134184713396436,0.40232764891295564,0.3803936971601337,0.6618843889728826,0.6185226288173048,1.0,0.25753646801447244,0.5996434581705126,0.21942446043165467,0.6824924975935678,0.3750136247006248,1.0,0.4941305489481326,0.7193848653218654,0.6956837419034335
